1,,,あ,,Ah
2,,,ああ,,like that
3,,,あいさつ・する,,to greet
4,,間,あいだ,,a space
5,,合う,あう,,to match
6,,,あかちゃん,,infant
7,,上る,あがる,,to rise
8,,赤ん坊,あかんぼう,,baby
9,,空く,あく,,"to open, to become empty"
10,,,アクセサリー,,accessory
11,,,あげる,,to give
12,,浅い,あさい,,"shallow,superficial"
13,,味,あじ,,flavour
14,,,アジア,,Asia
15,,明日,あす,,tomorrow
16,,遊び,あそび,,play
17,,集る,あつまる,,to gather
18,,集める,あつめる,,to collect something
19,,,アナウンサー,,announcer
20,,,アフリカ,,Africa
21,,,アメリカ,,America
22,,謝る,あやまる,,to apologize
23,,,アルコール,,alcohol
24,,,アルバイト,,part-time job
25,,安心,あんしん,,relief
26,,安全,あんぜん,,safety
27,,,あんな,,such
28,,案内,あんない・する,,to guide
29,,以下,いか,,less than
30,,以外,いがい,,with the exception of
31,,医学,いがく,,medical science
32,,生きる,いきる,,to live
33,,意見,いけん,,opinion
34,,石,いし,,stone
35,,,いじめる,,to tease
36,,以上,いじょう,,"more than,this is all"
37,,急ぐ,いそぐ,,to hurry
38,,致す,いたす,,(humble) to do
39,,,いただく,,(humble) to receive
40,,一度,いちど,,once
41,,一生懸命,いっしょうけんめい,,with utmost effort
42,,,いっぱい,,full
43,,糸,いと,,thread
44,,以内,いない,,within
45,,田舎,いなか,,countryside
46,,祈る,いのる,,to pray
47,,,いらっしゃる,,"(respectful) to be,to come or to go"
48,,植える,うえる,,"to plant,to grow"
49,,,うかがう,,to visit
50,,受付,うけつけ,,receipt
51,,受ける,うける,,to take a lesson or test
52,,動く,うごく,,to move
53,,,うそ,,a lie
54,,,うち,,within
55,,打つ,うつ,,to hit
56,,美しい,うつくしい,,beautiful
57,,写す,うつす,,to copy or photograph
58,,移る,うつる,,to move house or transfer
59,,腕,うで,,arm
60,,,うまい,,delicious
61,,裏,うら,,reverse side
62,,売り場,うりば,,place where things are sold
63,,,うれしい,,glad
64,,,うん,,(informal) yes
65,,運転,うんてん・する,,to drive
66,,運転手,うんてんしゅ,,driver
67,,運動,うんどう・する,,to exercise
68,,,エスカレーター,,escalator
69,,枝,えだ,,"branch, twig"
70,,選ぶ,えらぶ,,to choose
71,,遠慮,えんりょ・する,,"to be reserved, to be restrained"
72,,,おいでになる,,(respectful) to be
