ageru,あげる,raise,,agaru,あがる,rise,挙
ageru,あげる,raise,,agaru,あがる,rise,上
ageru,あげる,fry,,agaru,あがる,be fried,揚
akeru,あける,open,,aku,あく,open,"開, 空, 明"
asobasu,あそばす,let play,,asobu,あそぶ,play,遊
atatameru,あたためる,warm,,atatamaru,あたたまる,get warm,温
ateru,あてる,hit,,ataru,あたる,hit,当
atsumeru,あつめる,gather,,atsumaru,あつまる,be gathered,集
abiseru,あびせる,bathe,,abiru,あびる,bathe,浴
amasu,あます,leave,,amaru,あまる,be left,余
aratameru,あらためる,renew,,aratamaru,あらたまる,be renewed,改
arawasu,あらわす,show,,arawareru,あらわれる,appear,現
ikasu,いかす,make live,,ikiru,いきる,live,生
itameru,いためる,damage,,itamu,いたむ,be damaged,傷
itameru,いためる,hurt,,itamu,いたむ,be hurt,痛
ibusu,いぶす,smoke,,iburu,いぶる,smoke,燻
ueru,うえる,plant,,uwaru,うわる,be planted,植
ukaberu,うかべる,float up,,ukabu,うかぶ,float up,浮
ukasu,うかす,float,,uku,うく,float,浮
ugokasu,うごかす,move,,ugoku,うごく,move,動
utsusu,うつす,move (a to b),,utsuru,うつる,move (a to b),移
utsusu,うつす,reflect,,utsuru,うつる,be reflected,映
utsusu,うつす,project,,utsuru,うつる,project,写
umu,うむ,give birth,,umareru,うまれる,be born,生
uru,うる,sell,,ureru,うれる,sell,売
okosu,おこす,wake up,,okiru,おきる,wake up,起
osameru,おさめる,rule,,osamaru,おさまる,be ruled,治
osameru,おさめる,obtain,,osamaru,おさまる,be obtained,収
osameru,おさめる,control,,osamaru,おさまる,be controled,修
osameru,おさめる,reach,,osamaru,おさまる,be reached,納
otosu,おとす,drop,,ochiru,おちる,fall,落
odorokasu,おどろかす,surprise,,odoroku,おどろく,be surprised,驚
oborasu,おぼらす,drown,,oboreru,おぼれる,drown,溺
orosu,おろす,lower,,oriru,おりる,go down,降
oru,おる,break,,oreru,おれる,break,折
oeru,おえる,finish,,owaru,おわる,finish,終
kaesu,かえす,return (home),,kaeru,かえる,return (home),帰
kaesu,かえす,return,,kaeru,かえる,return,返
kakeru,かける,spend,,kakaru,かかる,cost,掛
kakusu,かくす,hide,,kakureru,かくれる,hide,隠
kasaneru,かさねる,pile up,,kasanaru,かさなる,piled up,重
katazukeru,かたづける,tidy,,katazuku,かたづく,be tidied,片付
katameru,かためる,harden,,katamaru,かたまる,harden,固
kabuseru,かぶせる,cover,,kaburu,かぶる,wear,被
karameru,からめる,tangle,,karamu,からむ,be tangled,絡
karasu,からす,let wither,,kareru,かれる,wither,枯
kaeru,かえる,change,,kawaru,かわる,change,換
kaeru,かえる,change,,kawaru,かわる,change,替
kaeru,かえる,change,,kawaru,かわる,change,代
kaeru,かえる,change,,kawaru,かわる,change,変
kesu,けす,extinguish,,kieru,きえる,disappear,消
kiku,きく,hear,,kikoeru,きこえる,be audible,聞
kimeru,きめる,decide,,kimaru,きまる,be decided,決
kiyomeru,きよめる,purify,,kiyomaru,きよまる,be purified,清
kiru,きる,cut,,kireru,きれる,be cut,切
kiwameru,きわめる,master,,kiwamaru,きわまる,be mastered,究
kiwameru,きわめる,master,,kiwamaru,きわまる,be mastered,窮
kiwameru,きわめる,take to limit,,kiwamaru,きわまる,reach limit,極
kudakeru,くだける,smash,,kudaku,くだく,be smashed,砕
kudasu,くだす,lower,,kudaru,くだる,descend,降
kudasu,くだす,lower,,kudaru,くだる,descend,下
kumorasu,くもらす,cloud,,kumoru,くもる,be clouded,曇
kurushimeru,くるしめる,afflict,,kurushimu,くるしむ,suffer,苦
kuwaeru,くわえる,add to,,kuwawaru,くわわる,join,加
koyasu,こやす,make fertile,,koeru,こえる,become fertile,肥
kogasu,こがす,scorch,,kogeru,こげる,be scorched,焦
kobosu,こぼす,spill,,koboreru,こぼれる,be spilt,零
komeru,こめる,croud,,komu,こむ,be crowded,込
korasu,こらす,stiffen,,koru,こる,stiffen,凝
korogasu,ころがす,roll over,,korogaru,ころがる,roll over,転
kowasu,こわす,break,,kowareru,こわれる,be broken,壊
sageru,さげる,hang down,,sagaru,さがる,hang down,下
saku,さく,tear,,sakeru,さける,be torn,裂
saku,さく,separate,,sakeru,さける,be separated,割
sasu,さす,stick,,sasaru,ささる,be stuck,刺
sadameru,さだめる,fix,,sadamaru,さだまる,be fixed,定
